PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
155. Niklas Kronwall,,NTC,UFA,37,D,Left,,57,2,11,13,-7,19:27,-,-,-,-,-,,"$5,500,000","$4,750,000"
156. Gustav Nyquist,,,UFA,28,"RW, C, LW",Left,,76,12,36,48,0,17:26,-,-,-,-,-,,"$4,250,000","$4,750,000"
157. Bryan Little,,M-NTC,UFA,30,"C, RW",Right,,59,21,26,47,-7,17:33,-,-,-,-,-,,"$5,000,000","$4,700,000"
158. Ryan McDonagh,,M-NTC,UFA,28,D,Left,,77,6,36,42,20,24:21,-,-,-,-,-,,"$5,000,000","$4,700,000"
159. Jori Lehterä,,,UFA,30,C,Left,,64,7,15,22,-6,15:10,-,-,-,-,-,,"$4,400,000","$4,700,000"
160. TJ Brodie,,,UFA,27,D,Left,,82,6,30,36,-16,23:34,-,-,-,-,-,,"$4,838,000","$4,650,400"
161. Kyle Palmieri,,,UFA,27,"RW, LW",Right,,80,26,27,53,2,17:20,-,-,-,-,-,,"$4,500,000","$4,650,000"
162. Clarke MacArthur,,M-NTC,UFA,32,LW,Left,,4,0,0,0,-1,13:29,-,-,-,-,-,,"$4,500,000","$4,650,000"
163. Chris Kreider,,,UFA,26,LW,Left,,75,28,25,53,6,17:00,-,-,-,-,-,,"$5,000,000","$4,625,000"
164. Jason Garrison,,NTC,UFA,33,D,Left,,70,1,8,9,-8,18:33,-,-,-,-,-,,"$3,600,000","$4,600,000"
165. Tyler Ennis,,,UFA,28,"C, LW, RW",Left,,51,5,8,13,-10,12:50,-,-,-,-,-,,"$3,650,000","$4,600,000"
166. Marcus Johansson,,,UFA,27,"C, LW, RW",Left,,82,24,34,58,25,16:59,-,-,-,-,-,,"$4,250,000","$4,583,333"
167. Artem Anisimov,,NMC,UFA,29,"C, LW",Left,,64,22,23,45,9,17:50,-,-,-,-,-,,"$5,750,000","$4,550,000"
168. Francois Beauchemin,,NMC,UFA,37,D,Left,,81,5,13,18,-14,21:30,-,-,-,-,-,,"$4,500,000","$4,500,000"
169. Nazem Kadri,,,UFA,27,C,Left,,82,32,29,61,-7,16:34,-,-,-,-,-,,"$5,000,000","$4,500,000"
170. Anton Strålman,,NTC,UFA,31,D,Right,,73,5,17,22,1,22:54,-,-,-,-,-,,"$4,500,000","$4,500,000"
171. Jason Demers,,M-NTC,UFA,29,D,Right,,81,9,19,28,-14,19:36,-,-,-,-,-,,"$5,500,000","$4,500,000"
172. Mats Zuccarello,,,UFA,30,RW,Left,,80,15,44,59,15,18:49,-,-,-,-,-,,"$4,500,000","$4,500,000"
173. Troy Brouwer,,NTC,UFA,32,RW,Right,,74,13,12,25,-11,16:13,-,-,-,-,-,,"$4,500,000","$4,500,000"
174. Alexandre Burrows,,NTC,UFA,36,"RW, LW",Left,,75,15,16,31,3,13:47,-,-,-,-,-,,"$3,000,000","$4,500,000"
175. Antti Niemi,,NTC,UFA,34,G,Left,,37,-,-,-,-,-,12,12,0,3.30,.892,,"$4,500,000","$4,500,000"
176. Max Pacioretty,,,UFA,29,LW,Left,,81,35,32,67,15,19:10,-,-,-,-,-,,"$5,000,000","$4,500,000"
177. Brad Marchand,,M-NTC,UFA,29,LW,Left,,80,39,46,85,18,19:26,-,-,-,-,-,,"$5,000,000","$4,500,000"
178. Jaroslav Halák,,,UFA,32,G,Left,,28,-,-,-,-,-,12,9,2,2.80,.915,,"$4,750,000","$4,500,000"
179. Alex Killorn,,,UFA,28,LW,Left,,81,19,17,36,-9,18:00,-,-,-,-,-,,"$4,450,000","$4,450,000"
180. Christopher Tanev,,,UFA,28,D,Right,,53,2,8,10,3,20:20,-,-,-,-,-,,"$3,500,000","$4,450,000"
181. Mike Fisher,,NMC,UFA,37,C,Right,,72,18,24,42,1,16:37,-,-,-,-,-,,"$4,000,000","$4,400,000"
182. Brandon Sutter,,NTC,UFA,29,C,Right,,81,17,17,34,-20,18:48,-,-,-,-,-,,"$4,250,000","$4,375,000"
183. Jack Johnson,,,UFA,31,D,Left,,82,5,18,23,23,21:49,-,-,-,-,-,,"$5,000,000","$4,357,143"
184. Drew Stafford,,,UFA,32,"RW, LW",Right,,58,8,13,21,6,14:16,-,-,-,-,-,,"$4,350,000","$4,350,000"
185. Dmitry Kulikov,,,UFA,27,D,Left,,47,2,3,5,-26,21:54,-,-,-,-,-,,"$4,500,000","$4,333,333"
186. Sean Couturier,,,UFA,25,C,Left,,66,14,20,34,12,18:26,-,-,-,-,-,,"$3,750,000","$4,333,333"
187. Devan Dubnyk,,M-NTC,UFA,31,G,Left,,65,-,-,-,-,-,40,19,5,2.25,.923,,"$5,000,000","$4,333,333"
188. Michael Frolík,,M-NTC,UFA,30,"RW, C",Left,,82,17,27,44,13,17:04,-,-,-,-,-,,"$5,000,000","$4,300,000"
189. James van Riemsdyk,,M-NTC,UFA,28,LW,Left,,82,29,33,62,-2,15:53,-,-,-,-,-,,"$5,000,000","$4,250,000"
190. Patric Hörnqvist,,M-NTC,UFA,31,RW,Right,,70,21,23,44,16,15:57,-,-,-,-,-,,"$4,750,000","$4,250,000"
191. John Klingberg,,,UFA,25,D,Right,,80,13,36,49,2,23:21,-,-,-,-,-,,"$2,750,000","$4,250,000"
